dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,12.684884,26.097090,12.841516,8.066745,0.353667,0.043514,0.154274
0.010000,12.764638,26.109429,12.922219,8.070286,0.354098,0.043134,0.152701
0.010000,12.844446,26.121646,13.002957,8.073832,0.354525,0.042631,0.151096
0.010000,12.924310,26.133739,13.083731,8.077381,0.354946,0.042129,0.149461
0.010000,13.004228,26.145706,13.164540,8.080935,0.355361,0.041453,0.147795
0.010000,13.084202,26.157543,13.245385,8.084492,0.355768,0.040734,0.146097
0.010000,13.164231,26.169248,13.326266,8.088054,0.356167,0.039934,0.144369
0.010000,13.244316,26.180819,13.407182,8.091620,0.356558,0.039033,0.142609
0.010000,13.324456,26.192253,13.488134,8.095189,0.356938,0.038039,0.140818
0.010000,13.404652,26.203547,13.569122,8.098762,0.357308,0.036951,0.138997
0.010000,13.484904,26.214699,13.650145,8.102339,0.357665,0.035767,0.137143
0.010000,13.565213,26.225705,13.731204,8.105919,0.358010,0.034484,0.135259
0.010000,13.645578,26.236564,13.812299,8.109502,0.358341,0.033102,0.133343
0.010000,13.725999,26.247272,13.893430,8.113089,0.358657,0.031617,0.131396
0.010000,13.806476,26.257827,13.974597,8.116678,0.358958,0.030055,0.129418
0.010000,13.887010,26.268226,14.055800,8.120271,0.359241,0.028318,0.127408
0.010000,13.967601,26.278467,14.137038,8.123866,0.359506,0.026520,0.125367
0.010000,14.048248,26.288546,14.218313,8.127463,0.359753,0.024662,0.123295
0.010000,14.128952,26.298461,14.299624,8.131063,0.359978,0.022547,0.121191
0.010000,14.209713,26.308209,14.380970,8.134665,0.360183,0.020496,0.119056
0.010000,14.290530,26.317788,14.462353,8.138269,0.360365,0.018158,0.116889
0.010000,14.371403,26.327195,14.543772,8.141874,0.360523,0.015862,0.114691
0.010000,14.452333,26.336426,14.625226,8.145481,0.360656,0.013302,0.112461
0.010000,14.533319,26.345480,14.706717,8.149088,0.360764,0.010711,0.110200
0.010000,14.614362,26.354354,14.788244,8.152697,0.360843,0.007988,0.107907
0.010000,14.695461,26.363044,14.869807,8.156306,0.360894,0.005103,0.105583
0.010000,14.776616,26.371548,14.951406,8.159915,0.360916,0.002107,0.103228
0.010000,14.857826,26.379863,15.033042,8.163524,0.360905,-0.001004,0.100841
0.010000,14.939093,26.387987,15.114713,8.167132,0.360863,-0.004255,0.098422
0.010000,15.020414,26.395917,15.196420,8.170740,0.360787,-0.007637,0.095972
0.010000,15.101791,26.403649,15.278164,8.174347,0.360675,-0.011153,0.093490
0.010000,15.183223,26.411181,15.359943,8.177952,0.360527,-0.014803,0.090977
0.010000,15.264710,26.418511,15.441759,8.181556,0.360341,-0.018588,0.088433
0.010000,15.346251,26.425635,15.523611,8.185157,0.360116,-0.022509,0.085857
0.010000,15.427846,26.432551,15.605498,8.188755,0.359850,-0.026568,0.083249
0.010000,15.509494,26.439255,15.687422,8.192351,0.359543,-0.030766,0.080611
0.010000,15.591196,26.445746,15.769381,8.195943,0.359192,-0.035101,0.077941
0.010000,15.672951,26.452020,15.851376,8.199531,0.358796,-0.039575,0.075239
0.010000,15.754759,26.458075,15.933408,8.203114,0.358354,-0.044208,0.072507
0.010000,15.836618,26.463907,16.015474,8.206693,0.357864,-0.048959,0.069743
0.010000,15.918529,26.469514,16.097577,8.210266,0.357326,-0.053861,0.066948
0.010000,16.000491,26.474894,16.179715,8.213833,0.356737,-0.058898,0.064121
0.010000,16.082504,26.480042,16.261889,8.217394,0.356096,-0.064099,0.061264
0.010000,16.164566,26.484957,16.344099,8.220948,0.355401,-0.069419,0.058376
0.010000,16.246678,26.489636,16.426344,8.224495,0.354653,-0.074887,0.055457
0.010000,16.328838,26.494076,16.508624,8.228033,0.353848,-0.080502,0.052506
0.010000,16.411047,26.498273,16.590940,8.231563,0.352985,-0.086254,0.049526
0.010000,16.493303,26.502226,16.673291,8.235084,0.352064,-0.092145,0.046514
0.010000,16.575605,26.505932,16.755677,8.238595,0.351082,-0.098182,0.043472
0.010000,16.657954,26.509388,16.838098,8.242095,0.350038,-0.104347,0.040399
0.010000,16.740347,26.512590,16.920553,8.245584,0.348932,-0.110656,0.037295
0.010000,16.822785,26.515537,17.003044,8.249062,0.347761,-0.117108,0.034162
0.010000,16.905267,26.518225,17.085569,8.252527,0.346524,-0.123678,0.030998
0.010000,16.987791,26.520653,17.168129,8.255979,0.345220,-0.130385,0.027804
0.010000,17.070357,26.522816,17.250723,8.259418,0.343848,-0.137229,0.024580
0.010000,17.152963,26.524712,17.333352,8.262842,0.342406,-0.144198,0.021326
0.010000,17.235610,26.526340,17.416014,8.266251,0.340893,-0.151302,0.018042
0.010000,17.318295,26.527695,17.498711,8.269644,0.339308,-0.158497,0.014729
0.010000,17.401018,26.528775,17.581441,8.273020,0.337649,-0.165842,0.011386
0.010000,17.483778,26.529578,17.664205,8.276380,0.335916,-0.173295,0.008014
0.010000,17.566574,26.530101,17.747002,8.279721,0.334108,-0.180860,0.004613
0.010000,17.649404,26.530341,17.829832,8.283043,0.332222,-0.188533,0.001183
0.010000,17.732267,26.530296,17.912696,8.286346,0.330259,-0.196311,6.280909
0.010000,17.815163,26.529963,17.995592,8.289628,0.328217,-0.204222,6.277421
0.010000,17.898089,26.529340,18.078521,8.292889,0.326096,-0.212149,6.273905
0.010000,17.981046,26.528423,18.161482,8.296128,0.323893,-0.220232,6.270361
